search_id,search_date,stream,agent,query,search_surface,results_screened,candidates_added,notes
S0001,2026-06-29,bootstrap,main,docs/related-work/state-of-the-art.rst,local-corpus,95,65,"Unit: inventoried visible named-mention occurrences in this local file, including repeated heading and summary occurrences; not comparable to or pooled with search-engine result counts."
S0101,2026-06-29,blind-aerial-maritime,blind-aerial-maritime,site:arxiv.org Flightmare flexible quadrotor simulator gates random environments,mixed-primary-web,NR,NR,"Source: paper/data/agent_runs/blind-aerial-maritime.md; section: Exact query log / Round 3: simulators, obstacle distributions, and competition families. Per-query screened-hit and candidate-add counts were not captured."
S0102,2026-06-29,blind-aerial-maritime,blind-aerial-maritime,site:arxiv.org OmniDrones track task gates procedural environment,mixed-primary-web,NR,NR,"Source: paper/data/agent_runs/blind-aerial-maritime.md; section: Exact query log / Round 3: simulators, obstacle distributions, and competition families. Per-query screened-hit and candidate-add counts were not captured."
S0103,2026-06-29,blind-aerial-maritime,blind-aerial-maritime,site:arxiv.org VisFly simulator drone navigation random obstacles waypoint,mixed-primary-web,NR,NR,"Source: paper/data/agent_runs/blind-aerial-maritime.md; section: Exact query log / Round 3: simulators, obstacle distributions, and competition families. Per-query screened-hit and candidate-add counts were not captured."
S0104,2026-06-29,blind-aerial-maritime,blind-aerial-maritime,site:arxiv.org Air Learning deep reinforcement learning gym aerial robot random obstacle environments,mixed-primary-web,NR,NR,"Source: paper/data/agent_runs/blind-aerial-maritime.md; section: Exact query log / Round 3: simulators, obstacle distributions, and competition families. Per-query screened-hit and candidate-add counts were not captured."
S0105,2026-06-29,blind-aerial-maritime,blind-aerial-maritime,OmniDrones efficient flexible platform reinforcement learning drone control track task official,mixed-primary-web,NR,NR,"Source: paper/data/agent_runs/blind-aerial-maritime.md; section: Exact query log / Round 3: simulators, obstacle distributions, and competition families. Per-query screened-hit and candidate-add counts were not captured."
S0106,2026-06-29,blind-aerial-maritime,blind-aerial-maritime,VisFly efficient versatile simulator learning to fly official paper,mixed-primary-web,NR,NR,"Source: paper/data/agent_runs/blind-aerial-maritime.md; section: Exact query log / Round 3: simulators, obstacle distributions, and competition families. Per-query screened-hit and candidate-add counts were not captured."
S0107,2026-06-29,blind-aerial-maritime,blind-aerial-maritime,AvoidBench benchmark aerial obstacle avoidance environment generation official paper,mixed-primary-web,NR,NR,"Source: paper/data/agent_runs/blind-aerial-maritime.md; section: Exact query log / Round 3: simulators, obstacle distributions, and competition families. Per-query screened-hit and candidate-add counts were not captured."
S0108,2026-06-29,blind-aerial-maritime,blind-aerial-maritime,"""AvoidBench"" aerial robot benchmark obstacle generation",mixed-primary-web,NR,NR,"Source: paper/data/agent_runs/blind-aerial-maritime.md; section: Exact query log / Round 3: simulators, obstacle distributions, and competition families. Per-query screened-hit and candidate-add counts were not captured."
S0109,2026-06-29,blind-aerial-maritime,blind-aerial-maritime,Learning Minimum-Time Flight in Cluttered Environments random obstacle environments official paper,mixed-primary-web,NR,NR,"Source: paper/data/agent_runs/blind-aerial-maritime.md; section: Exact query log / Round 3: simulators, obstacle distributions, and competition families. Per-query screened-hit and candidate-add counts were not captured."
S0110,2026-06-29,blind-aerial-maritime,blind-aerial-maritime,"site:rpg.ifi.uzh.ch ""Learning High-Speed Flight in the Wild"" random environment obstacles",mixed-primary-web,NR,NR,"Source: paper/data/agent_runs/blind-aerial-maritime.md; section: Exact query log / Round 3: simulators, obstacle distributions, and competition families. Per-query screened-hit and candidate-add counts were not captured."
S0111,2026-06-29,blind-aerial-maritime,blind-aerial-maritime,site:robonation.org/app/uploads/sites/3 2026 RoboBoat team handbook task ideas,mixed-primary-web,NR,NR,"Source: paper/data/agent_runs/blind-aerial-maritime.md; section: Exact query log / Round 3: simulators, obstacle distributions, and competition families. Per-query screened-hit and candidate-add counts were not captured."
S0112,2026-06-29,blind-aerial-maritime,blind-aerial-maritime,site:njordchallenge.com rules buoy course autonomous ship challenge PDF,mixed-primary-web,NR,NR,"Source: paper/data/agent_runs/blind-aerial-maritime.md; section: Exact query log / Round 3: simulators, obstacle distributions, and competition families. Per-query screened-hit and candidate-add counts were not captured."
S0113,2026-06-29,blind-aerial-maritime,blind-aerial-maritime,SailBot competition rules autonomous sailboat buoy navigation race official PDF,mixed-primary-web,NR,NR,"Source: paper/data/agent_runs/blind-aerial-maritime.md; section: Exact query log / Round 3: simulators, obstacle distributions, and competition families. Per-query screened-hit and candidate-add counts were not captured."
S0114,2026-06-29,blind-aerial-maritime,blind-aerial-maritime,World Robotic Sailing Championship rules buoy race autonomous sailboat official,mixed-primary-web,NR,NR,"Source: paper/data/agent_runs/blind-aerial-maritime.md; section: Exact query log / Round 3: simulators, obstacle distributions, and competition families. Per-query screened-hit and candidate-add counts were not captured."
S0115,2026-06-29,blind-aerial-maritime,blind-aerial-maritime,"""Environment as Policy: Learning to Race in Unseen Tracks"" ICRA 2025 paper",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-aerial-maritime.md; section: Exact query log / Round 4: direct-title and generator-family closure. Per-query screened-hit and candidate-add counts were not captured.
S0116,2026-06-29,blind-aerial-maritime,blind-aerial-maritime,"""Learning generalizable policy for obstacle-aware autonomous drone racing""",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-aerial-maritime.md; section: Exact query log / Round 4: direct-title and generator-family closure. Per-query screened-hit and candidate-add counts were not captured.
S0117,2026-06-29,blind-aerial-maritime,blind-aerial-maritime,"site:arxiv.org ""obstacle-aware autonomous drone racing"" generalizable policy",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-aerial-maritime.md; section: Exact query log / Round 4: direct-title and generator-family closure. Per-query screened-hit and candidate-add counts were not captured.
S0118,2026-06-29,blind-aerial-maritime,blind-aerial-maritime,"site:github.com ""Learning generalizable policy"" drone racing",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-aerial-maritime.md; section: Exact query log / Round 4: direct-title and generator-family closure. Per-query screened-hit and candidate-add counts were not captured.
S0119,2026-06-29,blind-aerial-maritime,blind-aerial-maritime,"""Learning generalizable policy for obstacle-aware"" DOI",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-aerial-maritime.md; section: Exact query log / Round 4: direct-title and generator-family closure. Per-query screened-hit and candidate-add counts were not captured.
S0120,2026-06-29,blind-aerial-maritime,blind-aerial-maritime,"""MAVRL: Learn to Fly in Cluttered Environments with Varying Speed""",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-aerial-maritime.md; section: Exact query log / Round 4: direct-title and generator-family closure. Per-query screened-hit and candidate-add counts were not captured.
S0121,2026-06-29,blind-aerial-maritime,blind-aerial-maritime,"""Reinforcement Learning for Collision-Free Flight Exploiting Deep Collision Encoding""",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-aerial-maritime.md; section: Exact query log / Round 4: direct-title and generator-family closure. Per-query screened-hit and candidate-add counts were not captured.
S0122,2026-06-29,blind-aerial-maritime,blind-aerial-maritime,"""Learning vision-based agile flight via differentiable physics"" random obstacles",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-aerial-maritime.md; section: Exact query log / Round 4: direct-title and generator-family closure. Per-query screened-hit and candidate-add counts were not captured.
S0123,2026-06-29,blind-aerial-maritime,blind-aerial-maritime,"""Learning speed adaptation for flight in clutter""",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-aerial-maritime.md; section: Exact query log / Round 4: direct-title and generator-family closure. Per-query screened-hit and candidate-add counts were not captured.
S0124,2026-06-29,blind-aerial-maritime,blind-aerial-maritime,"site:arxiv.org ""Mastering Diverse, Unknown, and Cluttered Tracks""",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-aerial-maritime.md; section: Exact query log / Round 4: direct-title and generator-family closure. Per-query screened-hit and candidate-add counts were not captured.
S0125,2026-06-29,blind-aerial-maritime,blind-aerial-maritime,"""buoy course"" generator autonomous surface vessel simulation",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-aerial-maritime.md; section: Exact query log / Round 4: direct-title and generator-family closure. Per-query screened-hit and candidate-add counts were not captured.
S0126,2026-06-29,blind-aerial-maritime,blind-aerial-maritime,"""buoy field"" random generation USV simulator",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-aerial-maritime.md; section: Exact query log / Round 4: direct-title and generator-family closure. Per-query screened-hit and candidate-add counts were not captured.
S0127,2026-06-29,blind-aerial-maritime,blind-aerial-maritime,"""procedurally generated"" waterways autonomous vessel",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-aerial-maritime.md; section: Exact query log / Round 4: direct-title and generator-family closure. Per-query screened-hit and candidate-add counts were not captured.
S0128,2026-06-29,blind-aerial-maritime,blind-aerial-maritime,"""scenario generation"" autonomous surface vessel benchmark waypoints buoys",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-aerial-maritime.md; section: Exact query log / Round 4: direct-title and generator-family closure. Per-query screened-hit and candidate-add counts were not captured.
S0129,2026-06-29,blind-aerial-maritime,blind-aerial-maritime,site:arxiv.org autonomous surface vessel random obstacle scenarios reinforcement learning waypoint distribution,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-aerial-maritime.md; section: Exact query log / Round 4: direct-title and generator-family closure. Per-query screened-hit and candidate-add counts were not captured.
S0130,2026-06-29,blind-aerial-maritime,blind-aerial-maritime,autonomous surface vessel simulator procedurally generated environments reinforcement learning official paper,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-aerial-maritime.md; section: Exact query log / Round 4: direct-title and generator-family closure. Per-query screened-hit and candidate-add counts were not captured.
S0131,2026-06-29,blind-aerial-maritime,blind-aerial-maritime,"""ASVSim"" AirSim Surface Vehicles GitHub official",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-aerial-maritime.md; section: Exact query log / Round 4: direct-title and generator-family closure. Per-query screened-hit and candidate-add counts were not captured.
S0132,2026-06-29,blind-aerial-maritime,blind-aerial-maritime,"""Search-based Generation of Waypoints for Triggering Self-Adaptations"" official",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-aerial-maritime.md; section: Exact query log / Round 4: direct-title and generator-family closure. Per-query screened-hit and candidate-add counts were not captured.
S0133,2026-06-29,blind-aerial-maritime,blind-aerial-maritime,"site:arxiv.org quadrotor ""randomly generated tracks"" gates racing",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-aerial-maritime.md; section: Exact query log / Formal saturation refinement 1. Per-query screened-hit and candidate-add counts were not captured.
S0134,2026-06-29,blind-aerial-maritime,blind-aerial-maritime,"site:ieeexplore.ieee.org drone racing ""track generation"" gates",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-aerial-maritime.md; section: Exact query log / Formal saturation refinement 1. Per-query screened-hit and candidate-add counts were not captured.
S0135,2026-06-29,blind-aerial-maritime,blind-aerial-maritime,"site:github.com autonomous surface vessel simulator ""generated_worlds"" buoy waypoints",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-aerial-maritime.md; section: Exact query log / Formal saturation refinement 1. Per-query screened-hit and candidate-add counts were not captured.
S0136,2026-06-29,blind-aerial-maritime,blind-aerial-maritime,"site:proceedings.mlr.press aerial robot ""procedurally generated"" obstacles navigation",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-aerial-maritime.md; section: Exact query log / Formal saturation refinement 1. Per-query screened-hit and candidate-add counts were not captured.
S0137,2026-06-29,blind-aerial-maritime,blind-aerial-maritime,"""race track generator"" quadrotor gates paper",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-aerial-maritime.md; section: Exact query log / Formal saturation refinement 2. Per-query screened-hit and candidate-add counts were not captured.
S0138,2026-06-29,blind-aerial-maritime,blind-aerial-maritime,"""random gate tracks"" drone racing",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-aerial-maritime.md; section: Exact query log / Formal saturation refinement 2. Per-query screened-hit and candidate-add counts were not captured.
S0139,2026-06-29,blind-aerial-maritime,blind-aerial-maritime,"""autonomous sailboat simulator"" buoy course official",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-aerial-maritime.md; section: Exact query log / Formal saturation refinement 2. Per-query screened-hit and candidate-add counts were not captured.
S0140,2026-06-29,blind-aerial-maritime,blind-aerial-maritime,"""waterway generation"" autonomous ship simulation paper",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-aerial-maritime.md; section: Exact query log / Formal saturation refinement 2. Per-query screened-hit and candidate-add counts were not captured.
S0141,2026-06-29,blind-aerial-maritime,blind-aerial-maritime,"""autonomous vessel"" ""test scenario generation"" AIS sampling paper",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-aerial-maritime.md; section: Exact query log / Boundary audit queries. Per-query screened-hit and candidate-add counts were not captured.
S0142,2026-06-29,blind-aerial-maritime,blind-aerial-maritime,"""dynamic test scenario generation"" autonomous ship simulation",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-aerial-maritime.md; section: Exact query log / Boundary audit queries. Per-query screened-hit and candidate-add counts were not captured.
S0143,2026-06-29,blind-aerial-maritime,blind-aerial-maritime,"""randomly generated virtual test scenarios"" maritime autonomous vessel",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-aerial-maritime.md; section: Exact query log / Boundary audit queries. Per-query screened-hit and candidate-add counts were not captured.
S0144,2026-06-29,blind-aerial-maritime,blind-aerial-maritime,"maritime ""combinatorial test scenario generation"" ship collision avoidance",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-aerial-maritime.md; section: Exact query log / Boundary audit queries. Per-query screened-hit and candidate-add counts were not captured.
S0145,2026-06-29,blind-aerial-maritime,blind-aerial-maritime,"""Ship Encounter Scenario Generation for Collision Avoidance Algorithm Testing Based on AIS Data""",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-aerial-maritime.md; section: Exact query log / Boundary audit queries. Per-query screened-hit and candidate-add counts were not captured.
S0146,2026-06-29,blind-aerial-maritime,blind-aerial-maritime,"""Generation of naturalistic and adversarial sailing environment"" autonomous ships",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-aerial-maritime.md; section: Exact query log / Boundary audit queries. Per-query screened-hit and candidate-add counts were not captured.
S0147,2026-06-29,blind-aerial-maritime,blind-aerial-maritime,"""Interactive testing for evaluating the performance of collision avoidance algorithms in multi-ship encounter scenarios""",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-aerial-maritime.md; section: Exact query log / Boundary audit queries. Per-query screened-hit and candidate-add counts were not captured.
S0148,2026-06-29,blind-aerial-maritime,blind-aerial-maritime,"""Towards Simulation-based Verification of Autonomous Navigation Systems"" DOI",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-aerial-maritime.md; section: Exact query log / Boundary audit queries. Per-query screened-hit and candidate-add counts were not captured.
S0149,2026-06-29,blind-aerial-maritime,blind-aerial-maritime,"""Automatic simulation-based testing of autonomous ships using Gaussian processes and temporal logic"" authors",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-aerial-maritime.md; section: Exact query log / Boundary audit queries. Per-query screened-hit and candidate-add counts were not captured.
S0150,2026-06-29,blind-aerial-maritime,blind-aerial-maritime,"""Testbed Scenario Design Exploiting Traffic Big Data"" DOI",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-aerial-maritime.md; section: Exact query log / Boundary audit queries. Per-query screened-hit and candidate-add counts were not captured.
S0151,2026-06-29,blind-aerial-maritime,blind-aerial-maritime,"""Assessing Scene Generation Techniques for Testing COLREGS-Compliance""",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-aerial-maritime.md; section: Exact query log / Boundary audit queries. Per-query screened-hit and candidate-add counts were not captured.
S0152,2026-06-29,blind-aerial-maritime,blind-aerial-maritime,"""Towards Automated Test Scenario Generation for Assuring COLREGs Compliance""",mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-aerial-maritime.md; section: Exact query log / Boundary audit queries. Per-query screened-hit and candidate-add counts were not captured.
S0153,2026-06-29,blind-aerial-maritime,blind-aerial-maritime,RUN-SUMMARY:paper/data/agent_runs/blind-aerial-maritime.md,documented-agent-run,NR,32,"Source: paper/data/agent_runs/blind-aerial-maritime.md; 32 retained, 0 excluded; final saturation arithmetic: 0/31 = 0.000% and 1/32 = 3.125%. Total screened-hit count was not captured."
S0154,2026-06-29,aware-geometry-rl,aware-geometry-rl,procedural race track generation games,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/aware-geometry-rl.md; section: Exact queries / Seed verification and racing-game expansion. Per-query screened-hit and candidate-add counts were not captured.
S0155,2026-06-29,aware-geometry-rl,aware-geometry-rl,racing game track design generation evolutionary,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/aware-geometry-rl.md; section: Exact queries / Seed verification and racing-game expansion. Per-query screened-hit and candidate-add counts were not captured.
S0156,2026-06-29,aware-geometry-rl,aware-geometry-rl,racing game track generation interactive evolution,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/aware-geometry-rl.md; section: Exact queries / Seed verification and racing-game expansion. Per-query screened-hit and candidate-add counts were not captured.
S0157,2026-06-29,aware-geometry-rl,aware-geometry-rl,TrackGen interactive track generator TORCS Speed-Dreams,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/aware-geometry-rl.md; section: Exact queries / Seed verification and racing-game expansion. Per-query screened-hit and candidate-add counts were not captured.
S0158,2026-06-29,aware-geometry-rl,aware-geometry-rl,personalised track design car racing games generator difficulty,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/aware-geometry-rl.md; section: Exact queries / Seed verification and racing-game expansion. Per-query screened-hit and candidate-add counts were not captured.
S0159,2026-06-29,aware-geometry-rl,aware-geometry-rl,procedural generation road paths driving simulation,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/aware-geometry-rl.md; section: Exact queries / Seed verification and racing-game expansion. Per-query screened-hit and candidate-add counts were not captured.
S0160,2026-06-29,aware-geometry-rl,aware-geometry-rl,Learn to Race autonomous racing environment,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/aware-geometry-rl.md; section: Exact queries / Seed verification and racing-game expansion. Per-query screened-hit and candidate-add counts were not captured.
S0161,2026-06-29,aware-geometry-rl,aware-geometry-rl,CommonRoad composable benchmarks road serialization lanelet official,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/aware-geometry-rl.md; section: Exact queries / Seed verification and racing-game expansion. Per-query screened-hit and candidate-add counts were not captured.
S0162,2026-06-29,aware-geometry-rl,aware-geometry-rl,Making Racing Fun Through Player Modeling and Track Evolution,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/aware-geometry-rl.md; section: Exact queries / Seed verification and racing-game expansion. Per-query screened-hit and candidate-add counts were not captured.
S0163,2026-06-29,aware-geometry-rl,aware-geometry-rl,Search-Based Procedural Content Generation for Race Tracks in Video Games,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/aware-geometry-rl.md; section: Exact queries / Seed verification and racing-game expansion. Per-query screened-hit and candidate-add counts were not captured.
S0164,2026-06-29,aware-geometry-rl,aware-geometry-rl,Repulsive Curves Keenan Crane Yu Schumacher,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/aware-geometry-rl.md; section: Exact queries / Seed verification and racing-game expansion. Per-query screened-hit and candidate-add counts were not captured.
S0165,2026-06-29,aware-geometry-rl,aware-geometry-rl,Position Based Dynamics Muller Heidelberger Hennix Ratcliff,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/aware-geometry-rl.md; section: Exact queries / Seed verification and racing-game expansion. Per-query screened-hit and candidate-add counts were not captured.
S0166,2026-06-29,aware-geometry-rl,aware-geometry-rl,autonomous driving road geometry test generation search procedural,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/aware-geometry-rl.md; section: Exact queries / Autonomous-driving road generation and testing. Per-query screened-hit and candidate-add counts were not captured.
S0167,2026-06-29,aware-geometry-rl,aware-geometry-rl,DeepJanus DeepHyperion road generation autonomous driving,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/aware-geometry-rl.md; section: Exact queries / Autonomous-driving road generation and testing. Per-query screened-hit and candidate-add counts were not captured.
S0168,2026-06-29,aware-geometry-rl,aware-geometry-rl,AmbieGen automatic generation testing environments road topology,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/aware-geometry-rl.md; section: Exact queries / Autonomous-driving road generation and testing. Per-query screened-hit and candidate-add counts were not captured.
S0169,2026-06-29,aware-geometry-rl,aware-geometry-rl,road representations search-based testing autonomous driving systems six representations,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/aware-geometry-rl.md; section: Exact queries / Autonomous-driving road generation and testing. Per-query screened-hit and candidate-add counts were not captured.
S0170,2026-06-29,aware-geometry-rl,aware-geometry-rl,path-aware crossover autonomous driving road generation AsFault,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/aware-geometry-rl.md; section: Exact queries / Autonomous-driving road generation and testing. Per-query screened-hit and candidate-add counts were not captured.
S0171,2026-06-29,aware-geometry-rl,aware-geometry-rl,Frenetic-lib road structures ADS testing Bezier Cartesian Kappa Theta,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/aware-geometry-rl.md; section: Exact queries / Autonomous-driving road generation and testing. Per-query screened-hit and candidate-add counts were not captured.
S0172,2026-06-29,aware-geometry-rl,aware-geometry-rl,CRAG combinatorial testing generator road geometries ADS,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/aware-geometry-rl.md; section: Exact queries / Autonomous-driving road generation and testing. Per-query screened-hit and candidate-add counts were not captured.
S0173,2026-06-29,aware-geometry-rl,aware-geometry-rl,critical scenario generation integrating road structures EvoScenario,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/aware-geometry-rl.md; section: Exact queries / Autonomous-driving road generation and testing. Per-query screened-hit and candidate-add counts were not captured.
S0174,2026-06-29,aware-geometry-rl,aware-geometry-rl,reinforcement learning informed evolutionary search road topology generation autonomous testing,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/aware-geometry-rl.md; section: Exact queries / Autonomous-driving road generation and testing. Per-query screened-hit and candidate-add counts were not captured.
S0175,2026-06-29,aware-geometry-rl,aware-geometry-rl,SBST tool competition BeamNG road test generation benchmark,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/aware-geometry-rl.md; section: Exact queries / Autonomous-driving road generation and testing. Per-query screened-hit and candidate-add counts were not captured.
S0176,2026-06-29,aware-geometry-rl,aware-geometry-rl,forward citations ASFault machine learning test selection generated road tests,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/aware-geometry-rl.md; section: Exact queries / Autonomous-driving road generation and testing. Per-query screened-hit and candidate-add counts were not captured.
S0177,2026-06-29,aware-geometry-rl,aware-geometry-rl,autonomous vehicle testing quality metrics oracles road diversity,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/aware-geometry-rl.md; section: Exact queries / Autonomous-driving road generation and testing. Per-query screened-hit and candidate-add counts were not captured.
S0178,2026-06-29,aware-geometry-rl,aware-geometry-rl,complexity controllable road network generation virtual testing autonomous driving,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/aware-geometry-rl.md; section: Exact queries / Autonomous-driving road generation and testing. Per-query screened-hit and candidate-add counts were not captured.
S0179,2026-06-29,aware-geometry-rl,aware-geometry-rl,REPAIRED CarRacing Bezier F1 tracks,mixed-primary-web,NR,NR,"Source: paper/data/agent_runs/aware-geometry-rl.md; section: Exact queries / UED, learned generation, robot-world transfer, and difficulty. Per-query screened-hit and candidate-add counts were not captured."
S0180,2026-06-29,aware-geometry-rl,aware-geometry-rl,CLUTR CarRacing task manifold F1,mixed-primary-web,NR,NR,"Source: paper/data/agent_runs/aware-geometry-rl.md; section: Exact queries / UED, learned generation, robot-world transfer, and difficulty. Per-query screened-hit and candidate-add counts were not captured."
S0181,2026-06-29,aware-geometry-rl,aware-geometry-rl,Prioritized Level Replay task selection,mixed-primary-web,NR,NR,"Source: paper/data/agent_runs/aware-geometry-rl.md; section: Exact queries / UED, learned generation, robot-world transfer, and difficulty. Per-query screened-hit and candidate-add counts were not captured."
S0182,2026-06-29,aware-geometry-rl,aware-geometry-rl,PAIRED unsupervised environment design regret,mixed-primary-web,NR,NR,"Source: paper/data/agent_runs/aware-geometry-rl.md; section: Exact queries / UED, learned generation, robot-world transfer, and difficulty. Per-query screened-hit and candidate-add counts were not captured."
S0183,2026-06-29,aware-geometry-rl,aware-geometry-rl,ACCEL edit levels regret environment design,mixed-primary-web,NR,NR,"Source: paper/data/agent_runs/aware-geometry-rl.md; section: Exact queries / UED, learned generation, robot-world transfer, and difficulty. Per-query screened-hit and candidate-add counts were not captured."
S0184,2026-06-29,aware-geometry-rl,aware-geometry-rl,WOGAN learned test generator cyber physical systems road generation RIGAA baseline,mixed-primary-web,NR,NR,"Source: paper/data/agent_runs/aware-geometry-rl.md; section: Exact queries / UED, learned generation, robot-world transfer, and difficulty. Per-query screened-hit and candidate-add counts were not captured."
S0185,2026-06-29,aware-geometry-rl,aware-geometry-rl,procedural content generation autonomous robot control testing generated worlds,mixed-primary-web,NR,NR,"Source: paper/data/agent_runs/aware-geometry-rl.md; section: Exact queries / UED, learned generation, robot-world transfer, and difficulty. Per-query screened-hit and candidate-add counts were not captured."
S0186,2026-06-29,aware-geometry-rl,aware-geometry-rl,generated virtual worlds robot navigation difficulty level trajectory curves,mixed-primary-web,NR,NR,"Source: paper/data/agent_runs/aware-geometry-rl.md; section: Exact queries / UED, learned generation, robot-world transfer, and difficulty. Per-query screened-hit and candidate-add counts were not captured."
S0187,2026-06-29,aware-geometry-rl,aware-geometry-rl,evolving diverse collection robot path planning problems generated environments,mixed-primary-web,NR,NR,"Source: paper/data/agent_runs/aware-geometry-rl.md; section: Exact queries / UED, learned generation, robot-world transfer, and difficulty. Per-query screened-hit and candidate-add counts were not captured."
S0188,2026-06-29,aware-geometry-rl,aware-geometry-rl,procedural race course synthesis ground vehicle geometry repair projection,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/aware-geometry-rl.md; section: Exact queries / Final residual saturation round. Per-query screened-hit and candidate-add counts were not captured.
S0189,2026-06-29,aware-geometry-rl,aware-geometry-rl,autonomous driving road geometry generation curriculum environment design,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/aware-geometry-rl.md; section: Exact queries / Final residual saturation round. Per-query screened-hit and candidate-add counts were not captured.
S0190,2026-06-29,aware-geometry-rl,aware-geometry-rl,racetrack generator serialization validity TORCS BeamNG CarRacing,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/aware-geometry-rl.md; section: Exact queries / Final residual saturation round. Per-query screened-hit and candidate-add counts were not captured.
S0191,2026-06-29,aware-geometry-rl,aware-geometry-rl,road topology generation reinforcement learning autonomous systems testing,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/aware-geometry-rl.md; section: Exact queries / Final residual saturation round. Per-query screened-hit and candidate-add counts were not captured.
S0192,2026-06-29,aware-geometry-rl,aware-geometry-rl,RUN-SUMMARY:paper/data/agent_runs/aware-geometry-rl.md,documented-agent-run,NR,55,"Source: paper/data/agent_runs/aware-geometry-rl.md; 51 retained, 4 excluded; final saturation arithmetic: 2/49 = 4.08% and 0/51 = 0.00%. Total screened-hit count was not captured."
S0193,2026-06-29,aware-simulation,aware-simulation-benchmarks,site:gymnasium.farama.org CarRacing-v3 random track reset domain_randomize official,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/aware-simulation-benchmarks.md; section: Exact queries by round / Round 1: named-system verification. Per-query screened-hit and candidate-add counts were not captured.
S0194,2026-06-29,aware-simulation,aware-simulation-benchmarks,site:f1tenth-gym.readthedocs.io map yaml reset poses Gymnasium official,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/aware-simulation-benchmarks.md; section: Exact queries by round / Round 1: named-system verification. Per-query screened-hit and candidate-add counts were not captured.
